"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Search item by categories","","0","0","5","0","0"
"","Filter left of page Books tests","","0","0","4","0","0"
"","Clean filter top tests","","0","0","1","0","0"
"","Filter at the top of page tests","","0","0","3","0","0"
"","Add in cart tests","","0","0","2","0","0"
"","Login tests","","0","0","5","0","0"
"","Clean filter top of page Books tests","","0","0","3","0","0"
"","Clean filter left of page Books tests","","0","0","3","0","0"
